station,id,x,y,PM25_V
12395,城关区,103.8381,36.0487,32
12397,城关区,103.8348,36.0482,32
12398,城关区,103.8435,36.0491,27
12402,城关区,103.8326,36.0391,27
12404,城关区,103.8515,36.0532,27
12405,城关区,103.8381,36.0487,19
12406,城关区,103.8614,36.0451,17
12408,城关区,103.849,36.0528,17
12416,城关区,103.8326,36.0391,18
12417,城关区,103.8362,36.0367,17
12430,城关区,103.8285,36.0501,18
12431,城关区,103.8671,36.0399,18
12432,城关区,103.8812,36.0365,19
12437,城关区,103.8925,36.037,23
12438,城关区,103.8318,36.0461,30
12439,城关区,103.8332,36.0533,36
12440,城关区,103.849,36.0528,34
12441,城关区,103.8378,36.0477,37
12459,城关区,103.8168,36.0615,40
12460,城关区,103.8188,36.053,25
12461,城关区,103.8191,36.0507,26
12466,城关区,103.8114,36.0596,25
12475,城关区,103.8189,36.051,32
12476,城关区,103.8114,36.0596,37
12480,城关区,103.8362,36.0367,37
12484,城关区,103.8278,36.0853,36
12490,城关区,103.8286,36.0786,34
12491,城关区,103.8242,36.0838,35
12492,城关区,103.875,36.0606,38
12493,城关区,103.8278,36.0853,35
12494,城关区,103.8718,36.0652,34
12496,城关区,103.8311,36.0708,36
12497,城关区,103.8842,36.0684,45
12498,城关区,103.8684,36.0674,45
12499,城关区,103.89,36.0677,34
12503,城关区,103.896,36.0618,34
12504,城关区,103.8168,36.0564,32
12505,城关区,103.8554,36.0629,27
12506,城关区,103.8381,36.0487,22
13920,城关区,103.8443,36.0717,24
13923,城关区,103.8506,36.075,23
13936,城关区,103.8169,36.1108,23
13937,城关区,103.8239,36.0756,28
13942,城关区,103.8304,36.0778,32
13948,城关区,103.8094,36.0769,26
13949,城关区,103.8094,36.0769,25
13950,城关区,103.8223,36.0743,24
13951,城关区,103.7939,36.1113,26
13952,城关区,103.8571,36.039,25
13953,城关区,103.8794,36.0373,26
13954,城关区,103.8659,36.0364,28
13956,城关区,103.8806,36.0403,29
13957,城关区,103.8578,36.0408,30
13959,城关区,103.8605,36.0341,32
13960,城关区,103.8236,36.0422,36
13961,城关区,103.8225,36.0427,41
13962,城关区,103.8236,36.0422,38
13963,城关区,103.8221,36.0421,43
13964,城关区,103.8246,36.0387,35
13965,城关区,103.8814,36.0468,40
13970,城关区,103.8891,36.0421,45
13971,城关区,103.8789,36.0485,31
13973,城关区,103.89,36.0403,33
13974,城关区,103.8735,36.0447,17
13975,城关区,103.8481,36.0313,19
13979,城关区,103.8556,36.0316,20
13980,城关区,103.8365,36.0557,22
13981,城关区,103.8373,36.0591,18
13982,城关区,103.8489,36.0135,16
13983,城关区,103.8373,36.0591,15
13984,城关区,103.8373,36.0591,13
13987,城关区,103.8439,36.0602,13
13988,城关区,103.84,36.0352,13
14145,城关区,103.8401,36.0369,14
14146,城关区,103.8422,36.0393,15
14148,城关区,103.8641,36.0523,16
14149,城关区,103.8667,36.04,17
14151,城关区,103.8571,36.039,17
14152,城关区,103.8412,36.0397,18
14157,城关区,103.9069,36.0465,19
14158,城关区,103.8651,36.0365,16
14159,城关区,103.9323,36.0392,20
14161,城关区,103.9323,36.0392,20
14162,城关区,103.9157,36.047,21
14164,城关区,103.9323,36.0392,20
14165,城关区,103.9196,36.0447,21
14166,城关区,103.8489,36.0135,25
14169,城关区,103.8489,36.0135,31
14171,城关区,103.8619,35.9887,26
14172,城关区,103.8379,36.017,28
14177,城关区,103.8783,36.0495,34
14179,城关区,103.8705,36.0526,35
14180,城关区,103.8949,36.0453,31
14181,城关区,103.9034,36.0401,26
14183,城关区,103.9291,36.0363,17
14187,城关区,103.9323,36.0392,13
14189,城关区,103.9425,36.0341,18
14190,城关区,103.8876,36.0258,22
14191,城关区,103.8489,36.0135,16
14192,城关区,103.8487,36.0065,14
14197,城关区,103.8738,35.9879,16
14198,城关区,103.8925,36.037,16
14199,城关区,103.8029,36.0962,19
14201,城关区,103.9035,36.0715,20
14202,城关区,103.923,36.0651,23
14203,城关区,103.9296,36.0626,21
14204,城关区,103.9694,36.0872,20
14233,城关区,103.9041,36.072,19
14235,城关区,103.8835,36.0841,19
14236,城关区,103.8114,36.0596,23
14238,城关区,103.8237,36.0601,23
14239,城关区,103.8237,36.0601,28
14240,城关区,103.8277,36.0586,35
14243,城关区,103.8237,36.0559,34
14580,城关区,103.8158,36.051,38
14581,城关区,103.8891,36.0538,30
14582,城关区,103.8842,36.0684,26
14583,城关区,103.8737,36.0546,21
14584,城关区,103.8842,36.0684,20
14585,城关区,103.8688,36.0573,21
14586,城关区,103.8346,36.0248,17
14590,城关区,91.137,29.6553,21
